src_ip,dst_ip,src_port,dst_port,protocol,bytes,attack_type
17.253.18.199,192.168.1.221,80,55571,TCP,54,NORMAL
192.168.1.221,17.253.18.199,55571,80,TCP,54,DDOS_OR_BRUTE_FORCE
13.70.79.200,192.168.1.221,443,55599,TCP,54,NORMAL
13.70.79.200,192.168.1.221,443,55599,TCP,54,NORMAL
13.70.79.200,192.168.1.221,443,55599,TCP,153,NORMAL
192.168.1.221,13.70.79.200,55599,443,TCP,89,PORT_SCAN
13.70.79.200,192.168.1.221,443,55599,TCP,54,PORT_SCAN
192.168.1.163,224.0.0.251,5353,5353,UDP,92,NORMAL
192.168.1.221,149.154.167.51,55395,443,TCP,255,PORT_SCAN
149.154.167.51,192.168.1.221,443,55395,TCP,303,NORMAL
192.168.1.221,149.154.167.51,55395,443,TCP,54,PORT_SCAN
192.168.1.221,149.154.167.41,55389,443,TCP,367,PORT_SCAN
149.154.167.41,192.168.1.221,443,55389,TCP,54,NORMAL
149.154.167.41,192.168.1.221,443,55389,TCP,143,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,55389,443,TCP,54,PORT_SCAN
192.168.1.221,52.167.17.97,55643,443,TCP,66,PORT_SCAN
192.168.1.221,192.168.1.163,55440,8009,TCP,164,PORT_SCAN
192.168.1.221,192.168.1.163,55443,8009,TCP,164,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55643,TCP,66,NORMAL
192.168.1.221,52.167.17.97,55643,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55643,443,TCP,268,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55643,TCP,1506,MALFORMED_PACKET
52.167.17.97,192.168.1.221,443,55643,TCP,1506,MALFORMED_PACKET
52.167.17.97,192.168.1.221,443,55643,TCP,908,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55643,443,TCP,54,PORT_SCAN
192.168.1.221,52.167.17.97,55643,443,TCP,212,DDOS_OR_BRUTE_FORCE
192.168.1.221,192.168.1.163,55440,8009,TCP,164,DDOS_OR_BRUTE_FORCE
192.168.1.221,192.168.1.163,55443,8009,TCP,164,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55643,TCP,105,NORMAL
52.167.17.97,192.168.1.221,443,55643,TCP,123,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55643,443,TCP,54,PORT_SCAN
192.168.1.221,52.167.17.97,55643,443,TCP,141,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55643,443,TCP,1330,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55643,443,TCP,92,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,443,55395,TCP,159,NORMAL
192.168.1.221,149.154.167.51,55395,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,192.168.1.163,55440,8009,TCP,164,DDOS_OR_BRUTE_FORCE
192.168.1.221,192.168.1.163,55443,8009,TCP,164,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55643,TCP,54,NORMAL
52.167.17.97,192.168.1.221,443,55643,TCP,92,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55643,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.163,224.0.0.251,5353,5353,UDP,395,NORMAL
192.168.1.163,192.168.1.221,8009,55440,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.163,192.168.1.221,8009,55440,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.163,192.168.1.221,8009,55443,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.163,192.168.1.221,8009,55440,TCP,66,DDOS_OR_BRUTE_FORCE
192.168.1.163,192.168.1.221,8009,55443,TCP,66,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55643,TCP,418,NORMAL
192.168.1.163,192.168.1.221,8009,55440,TCP,164,DDOS_OR_BRUTE_FORCE
192.168.1.163,192.168.1.221,8009,55443,TCP,164,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55643,443,TCP,54,PORT_SCAN
192.168.1.221,192.168.1.163,55440,8009,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,192.168.1.163,55443,8009,TCP,54,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55643,TCP,54,NORMAL
192.168.1.221,52.167.17.97,55643,443,TCP,54,PORT_SCAN
192.168.1.221,52.167.17.97,55644,443,TCP,66,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55644,TCP,66,NORMAL
192.168.1.221,52.167.17.97,55644,443,TCP,54,PORT_SCAN
192.168.1.221,52.167.17.97,55644,443,TCP,268,DDOS_OR_BRUTE_FORCE
140.82.114.26,192.168.1.221,443,55467,TCP,79,NORMAL
192.168.1.221,140.82.114.26,55467,443,TCP,83,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55644,TCP,1506,MALFORMED_PACKET
52.167.17.97,192.168.1.221,443,55644,TCP,1506,MALFORMED_PACKET
52.167.17.97,192.168.1.221,443,55644,TCP,908,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55644,443,TCP,54,PORT_SCAN
192.168.1.221,52.167.17.97,55644,443,TCP,212,DDOS_OR_BRUTE_FORCE
140.82.114.26,192.168.1.221,443,55467,TCP,54,NORMAL
52.167.17.97,192.168.1.221,443,55644,TCP,105,NORMAL
52.167.17.97,192.168.1.221,443,55644,TCP,123,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55644,443,TCP,54,PORT_SCAN
192.168.1.221,52.167.17.97,55644,443,TCP,141,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55644,443,TCP,833,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55644,443,TCP,92,DDOS_OR_BRUTE_FORCE
151.115.57.234,192.168.1.221,8000,55419,TCP,80,NORMAL
192.168.1.221,151.115.57.234,55419,8000,TCP,84,DDOS_OR_BRUTE_FORCE
151.115.57.234,192.168.1.221,8000,55419,TCP,54,NORMAL
52.167.17.97,192.168.1.221,443,55644,TCP,92,NORMAL
52.167.17.97,192.168.1.221,443,55644,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55644,443,TCP,54,PORT_SCAN
52.167.17.97,192.168.1.221,443,55644,TCP,409,NORMAL
192.168.1.221,52.167.17.97,55644,443,TCP,54,PORT_SCAN
52.167.17.97,192.168.1.221,443,55644,TCP,54,NORMAL
192.168.1.221,52.167.17.97,55644,443,TCP,54,PORT_SCAN
192.168.1.221,52.167.17.97,55645,443,TCP,66,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55645,TCP,66,NORMAL
192.168.1.221,52.167.17.97,55645,443,TCP,54,PORT_SCAN
192.168.1.221,52.167.17.97,55645,443,TCP,268,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55645,TCP,1506,MALFORMED_PACKET
52.167.17.97,192.168.1.221,443,55645,TCP,1506,MALFORMED_PACKET
52.167.17.97,192.168.1.221,443,55645,TCP,908,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55645,443,TCP,54,PORT_SCAN
192.168.1.221,52.167.17.97,55645,443,TCP,212,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55645,TCP,105,NORMAL
52.167.17.97,192.168.1.221,443,55645,TCP,123,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55645,443,TCP,54,PORT_SCAN
192.168.1.221,52.167.17.97,55645,443,TCP,141,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55645,443,TCP,1494,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55645,443,TCP,1494,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55645,443,TCP,823,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55645,443,TCP,92,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55645,TCP,92,NORMAL
52.167.17.97,192.168.1.221,443,55645,TCP,54,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55645,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55645,443,TCP,54,PORT_SCAN
52.167.17.97,192.168.1.221,443,55645,TCP,429,NORMAL
192.168.1.221,52.167.17.97,55645,443,TCP,54,PORT_SCAN
192.168.1.221,13.71.55.58,55646,443,TCP,66,DDOS_OR_BRUTE_FORCE
52.167.17.97,192.168.1.221,443,55645,TCP,96,PORT_SCAN
52.167.17.97,192.168.1.221,443,55645,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,52.167.17.97,55645,443,TCP,54,PORT_SCAN
192.168.1.221,52.167.17.97,55645,443,TCP,54,DDOS_OR_BRUTE_FORCE
13.71.55.58,192.168.1.221,443,55646,TCP,66,NORMAL
192.168.1.221,13.71.55.58,55646,443,TCP,54,PORT_SCAN
